Which of the following variables would it not be suitable to calculate the mean for?,4,Household income,Mode of transportation,Distance traveled,Age of participants,,,,option2,"Correct! Mode of transportation is a categorical variable as it represents types of transportation, for which the mean cannot be calculated.","Incorrect. Household income, distance traveled, and age of participants are all numerical variables, so calculating the mean is appropriate.",mcq
"A personal trainer records the amount of push-ups done in 1 minute for 8 of his clients. Calculate the mean: 14, 10, 8, 9, 15, 20, 7, 11.",0,,,,,,,,11.75,"Correct! The mean is calculated by summing the data points (94) and dividing by 8, resulting in a mean of 11.75 push-ups.",Incorrect. The correct calculation is: (14+10+8+9+15+20+7+11) ÷ 8 = 11.75 push-ups.,fitb
"A runner tracks the distance she runs, in kilometers, everyday for 10 days. Calculate the median: 4, 5, 8, 8, 8, 8, 9, 10, 6, 7.",0,,,,,,,,8,"Correct! After arranging the data in ascending order, the median is the average of the 5th and 6th values: (8+8)/2 = 8 km.","Incorrect. The data should be arranged: 4, 5, 6, 7, 8, 8, 8, 8, 9, 10. The median is the average of the 5th and 6th values, which is 8.",fitb
"A basketball coach records the number of missed free throws over the course of 7 games. Calculate the median: 3, 4, 2, 5, 3, 7, 8.",0,,,,,,,,4,"Correct! The median of the ordered data set (2, 3, 3, 4, 5, 7, 8) is the middle value, which is 4 missed free throws.","Incorrect. The correct median is the middle value in the ordered set: 2, 3, 3, 4, 5, 7, 8. Thus, the median is 4 missed free throws.",fitb
"A soccer player ran sprints 6 times and his trainer recorded the time in minutes. Identify the mode: 1, 2, 1, 1, 2, 3.",0,,,,,,,,1,"Correct! The mode is 1 minute as it appears three times in the data set, which is more frequent than the other values.","Incorrect. The correct mode is 1, as it appears more frequently (3 times) compared to the other numbers.",fitb
Why is the mode the only suitable measure of central tendency for describing the variable “type of daily transportation”?,0,,,,,,,,Nominal variable,"Correct! The type of daily transportation is a nominal variable, meaning there is no meaningful order, so you cannot calculate the mean or median. The mode reports the most frequent value.","Incorrect. The mode is the only suitable measure of central tendency for nominal variables like transportation type, because there is no meaningful order to calculate the mean or median.",fitb
In which type of distribution is the median most likely to be greater than the mean?,3,Symmetric distribution,Negatively-skewed distribution,Positively-skewed distribution,,,,,option2,"Correct! In a negatively-skewed distribution, the mean is pulled down by very low values, making the median greater than the mean.","Incorrect. The median is greater than the mean in a negatively-skewed distribution, where the tail is on the left. In a symmetric distribution, the mean and median are equal, and in a positively-skewed distribution, the mean is greater than the median.",mcq
For which of the following variables is the median not an appropriate measure of central tendency?,4,The number of sets performed,The type of exercises preferred,The rating of exercise satisfaction,The amount of weight lifted in deadlifts,,,,option3,"Correct! The rating of exercise satisfaction is a categorical variable, and the median cannot be used as it is not a numerical value. Mode would be an appropriate choice.",Incorrect. The median is inappropriate for the rating of exercise satisfaction because it is a categorical variable. The median can only be used for quantitative variables.,mcq
When is it necessary to calculate the mean in order to find the median in a distribution?,4,When the data is not skewed,When the data contains an even number of values,When the data contains an odd number of values,You always have to calculate the mean to find the median,,,,option2,"Correct! When the data contains an even number of values, there is no single middle value, so you must calculate the mean of the two middle values to find the median.","Incorrect. When the data has an odd number of values, the median is simply the middle value, so no need to calculate the mean.",mcq
Which of the following represents the mode?,4,The average number of sets completed in strength training,The total steps taken in a week,The most commonly reported type of exercise in a study,The winner of the tennis match,,,,option3,"Correct! The mode is the most frequent value. Here, the most commonly reported type of exercise represents the mode, which refers to the value that appears most often.","Incorrect. The mode refers to the most frequent value in a dataset, which in this case is the most commonly reported type of exercise. The other options describe the mean, sum, or irrelevant data.",mcq
